texte,emotion
Je redoute ce qui va arriver !,peur
"J'apprécie cette nouvelle à l'école, c'est génial !!",joie
Je proteste contre la livraison la semaine prochaine .,colère
Je reste bouche bée .,surprise
C'est inadmissible !!,colère
Je traverse une période difficile !!,tristesse
C'est ô combien inattendu ?!,surprise
Cette ce message m'inquiète ?!,peur
Ça me rend très content !,joie
Je me sens abattu !!,tristesse
Quelle surprise ! 😮,surprise
Je suis anxieux à propos de le système la semaine prochaine !,peur
la réunion me met hors de moi … 😡,colère
Incroyable tournure pour cette nouvelle ce matin ?!,surprise
le système me met hors de moi .,colère
Quelle le projet formidable …,joie
Je redoute ce qui va arriver !!,peur
Je ne m'y attendais pas .,surprise
"J'apprécie ce message à lomé, c'est génial …",joie
Cela me fait frissonner .,peur
C'est un jour morose …,tristesse
la décision me peine …,tristesse
Je redoute ce qui va arriver ?!,peur
Je proteste contre le serveur dans l'équipe !!,colère
Excellente nouvelle . 🥳,joie
Je suis tellement en colère 🤬,colère
Je me sens plein d'enthousiasme !,joie
Excellente nouvelle . 😄,joie
C'est inadmissible !!,colère
Je me sens abattu !!,tristesse
Je proteste contre cette nouvelle au travail !!,colère
Cela me fait frissonner !,peur
Incroyable tournure pour le cours au travail !!,surprise
Je ne m'y attendais pas !!,surprise
Je suis particulièrement triste 😢,tristesse
Je ne supporte plus le projet !!,colère
Cette le vol ASECNA m'inquiète …,peur
Je ne suis pas rassuré … 😱,peur
Je me sens abattu .,tristesse
Ça me rend tellement content ! 🥳,joie
C'est inadmissible …,colère
Je suis tellement en colère,colère
C'est ô combien inattendu ?!,surprise
Je ne suis pas rassuré ?! 😨,peur
"J'apprécie le résultat au Sénégal, c'est génial ?!",joie
Je proteste contre le vol asecna hier soir !,colère
Cela m'énerve au plus haut point !!,colère
Je ne supporte plus la situation …,colère
Je proteste contre la réunion la semaine prochaine …,colère
Je me sens plein d'enthousiasme !!,joie
Je me sens abattu !,tristesse
Je suis vraiment heureux aujourd'hui,joie
Je suis si en colère 🤬,colère
Je traverse une période difficile !!,tristesse
C'est un jour morose !,tristesse
Cela m'énerve au plus haut point !,colère
Quelle surprise !! 😲,surprise
"J'apprécie ce message au travail, c'est génial !",joie
Je redoute ce qui va arriver ?!,peur
Quelle la décision formidable …,joie
Je traverse une période difficile . 😢,tristesse
la météo me peine !!,tristesse
Je redoute ce qui va arriver !!,peur
Incroyable tournure pour le match à la maison !!,surprise
C'est un jour morose !!,tristesse
Stupéfiant ! 😮,surprise
Cela me fait frissonner ?!,peur
Je reste bouche bée !!,surprise
le résultat me peine !,tristesse
Je reste bouche bée !!,surprise
Je me sens abattu !!,tristesse
Je suis très heureux aujourd'hui,joie
Je reste bouche bée !!,surprise
"J'apprécie le match la semaine prochaine, c'est génial .",joie
Cela me fait frissonner !!,peur
Quelle surprise …,surprise
C'est inadmissible !!,colère
Cela m'énerve au plus haut point .,colère
C'est si inattendu !,surprise
Je redoute ce qui va arriver !,peur
C'est un jour morose !,tristesse
Je suis tellement heureux aujourd'hui,joie
Je proteste contre la décision à l'école …,colère
Je traverse une période difficile !! 😭,tristesse
Je me sens abattu !!,tristesse
Je ne supporte plus la livraison …,colère
Je ne suis pas rassuré . 😱,peur
Ça me rend très content !! 🥳,joie
Je redoute ce qui va arriver !,peur
Je ne supporte plus le projet !!,colère
Je suis tellement heureux aujourd'hui 🥳,joie
Cette le cours m'inquiète !,peur
C'est un jour morose !!,tristesse
cette nouvelle me met hors de moi . 🤬,colère
Je proteste contre le vol ASECNA au travail !!,colère
Je suis ô combien heureux aujourd'hui 🙂,joie
Je traverse une période difficile !! 😭,tristesse
Ça me rend particulièrement content . 🥳,joie
Je traverse une période difficile !!,tristesse
C'est inadmissible ?!,colère
Cela me fait frissonner !!,peur
Je suis ô combien triste 😭,tristesse
Je me sens abattu !!,tristesse
J'ai le cœur lourd !,tristesse
Incroyable tournure pour ce message à Lomé !,surprise
C'est un jour morose ?!,tristesse
Je suis ô combien heureux aujourd'hui 🥳,joie
C'est inadmissible .,colère
Je reste bouche bée !,surprise
Je traverse une période difficile … 😢,tristesse
C'est très inattendu !,surprise
Je suis si triste,tristesse
Je ne suis pas rassuré !! 😱,peur
J'ai le cœur lourd !,tristesse
Je suis anxieux à propos de le résultat la semaine prochaine !!,peur
Je me sens abattu !!,tristesse
Cela me fait frissonner ?!,peur
Je ne suis pas rassuré !,peur
Quelle surprise ! 😮,surprise
Incroyable tournure pour le vol asecna dans l'équipe !!,surprise
J'ai le cœur lourd !!,tristesse
Excellente nouvelle !,joie
Je suis très heureux aujourd'hui 😄,joie
la livraison me peine .,tristesse
Je ne m'y attendais pas …,surprise
Je ne suis pas rassuré ! 😨,peur
Cela m'énerve au plus haut point !!,colère
Je ne supporte plus le projet !,colère
Excellente nouvelle …,joie
Cette le match m'inquiète !,peur
Je suis anxieux à propos de le match à Lomé …,peur
J'ai particulièrement peur !! 😨,peur
Stupéfiant ?!,surprise
Excellente nouvelle … 🙂,joie
"J'apprécie ce message à l'école, c'est génial ?!",joie
Je me sens abattu .,tristesse
Je traverse une période difficile !,tristesse
"J'apprécie la réunion au Sénégal, c'est génial !!",joie
le serveur me met hors de moi ?!,colère
Je ne supporte plus la décision ?!,colère
C'est inadmissible !!,colère
le projet me peine !,tristesse
Je suis vraiment heureux aujourd'hui 🥳,joie
Je me sens plein d'enthousiasme ?!,joie
cette nouvelle me peine …,tristesse
Cela m'énerve au plus haut point ?!,colère
Stupéfiant !! 😮,surprise
Cela m'énerve au plus haut point !!,colère
Cette l'entretien m'inquiète …,peur
Je ne suis pas rassuré !! 😨,peur
Cela m'énerve au plus haut point !,colère
cette nouvelle me met hors de moi !! 🤬,colère
Je ne m'y attendais pas …,surprise
J'ai le cœur lourd .,tristesse
C'est inadmissible !,colère
Je proteste contre la livraison à Lomé .,colère
C'est inadmissible !,colère
Stupéfiant …,surprise
Incroyable tournure pour cette nouvelle ce matin !,surprise
Je suis très heureux aujourd'hui 🙂,joie
Je redoute ce qui va arriver !!,peur
Ça me rend très content ! 🥳,joie
Je suis ô combien triste 😢,tristesse
Cela me fait frissonner .,peur
Je ne suis pas rassuré !!,peur
Je ne m'y attendais pas !!,surprise
Cela m'énerve au plus haut point .,colère
Stupéfiant ! 🤯,surprise
Je ne supporte plus ce message !!,colère
Je proteste contre l'entretien à l'école !,colère
Quelle surprise !! 😲,surprise
Je suis ô combien triste,tristesse
le match me met hors de moi ?!,colère
C'est un jour morose !!,tristesse
ce message me met hors de moi …,colère
Stupéfiant !! 😲,surprise
Je ne m'y attendais pas ?!,surprise
Quelle le système formidable ?!,joie
Je traverse une période difficile !!,tristesse
Je suis particulièrement en colère 😡,colère
Incroyable tournure pour le serveur dans l'équipe !!,surprise
la météo me peine !,tristesse
Je me sens plein d'enthousiasme !,joie
Quelle surprise … 😲,surprise
Je ne suis pas rassuré … 😰,peur
Je reste bouche bée !!,surprise
C'est inadmissible …,colère
Je suis vraiment heureux aujourd'hui,joie
Quelle l'entretien formidable !!,joie
Incroyable tournure pour la situation au travail ?!,surprise
J'ai si peur ! 😱,peur
J'ai particulièrement peur ! 😨,peur
Je ne supporte plus le match .,colère
Je ne supporte plus le projet .,colère
Je suis très en colère 😡,colère
C'est inadmissible !,colère
Je reste bouche bée …,surprise
Cela me fait frissonner …,peur
Excellente nouvelle . 😄,joie
C'est inadmissible .,colère
"J'apprécie le vol ASECNA à la maison, c'est génial !",joie
Je suis très en colère 🤬,colère
C'est particulièrement inattendu …,surprise
Incroyable tournure pour le match à Lomé !,surprise
Excellente nouvelle !!,joie
Cela me fait frissonner ?!,peur
Je suis anxieux à propos de le serveur ce matin .,peur
"J'apprécie la décision à Lomé, c'est génial !",joie
le résultat me peine ?!,tristesse
Je ne suis pas rassuré … 😰,peur
Je reste bouche bée …,surprise
Je me sens plein d'enthousiasme !,joie
Je suis tellement heureux aujourd'hui 😄,joie
Cela me fait frissonner !,peur
Je me sens plein d'enthousiasme !!,joie
Je ne supporte plus le vol ASECNA …,colère
Je ne m'y attendais pas .,surprise
Je traverse une période difficile ?!,tristesse
Cette l'entretien m'inquiète ?!,peur
Je ne m'y attendais pas !!,surprise
C'est un jour morose !,tristesse
Ça me rend particulièrement content … 🥳,joie
"J'apprécie la réunion à l'école, c'est génial .",joie
J'ai le cœur lourd ?!,tristesse
J'ai le cœur lourd !!,tristesse
Cette le résultat m'inquiète !!,peur
C'est ô combien inattendu ?!,surprise
le vol ASECNA me met hors de moi !!,colère
Cette le match m'inquiète ?!,peur
Quelle surprise !,surprise
Je me sens plein d'enthousiasme ?!,joie
Je ne m'y attendais pas ?!,surprise
Je suis tellement heureux aujourd'hui 😄,joie
Je suis anxieux à propos de la situation à l'école !!,peur
le vol ASECNA me met hors de moi !! 😡,colère
ce message me met hors de moi . 😡,colère
Je suis tellement en colère 🤬,colère
la météo me met hors de moi …,colère
"J'apprécie la décision dans l'équipe, c'est génial !!",joie
Le résultat me met hors de moi ?!,colère
Je ne m'y attendais pas ?!,surprise
C'est tellement inattendu .,surprise
Ça me rend très content !! 🙂,joie
la livraison me met hors de moi !!,colère
Je traverse une période difficile ?! 😭,tristesse
Cela m'énerve au plus haut point !,colère
Quelle surprise !! 🤯,surprise
Je traverse une période difficile !,tristesse
Je suis anxieux à propos de cette nouvelle au bureau !,peur
C'est un jour morose !,tristesse
Je traverse une période difficile !,tristesse
C'est un jour morose !,tristesse
Je traverse une période difficile ! 😭,tristesse
Quelle la réunion formidable !!,joie
J'ai ô combien peur …,peur
Stupéfiant … 😲,surprise
Quelle surprise ! 😮,surprise
"J'apprécie la livraison au Sénégal, c'est génial .",joie
Je redoute ce qui va arriver !,peur
Je suis ô combien triste 😭,tristesse
Je ne m'y attendais pas …,surprise
J'ai ô combien peur ! 😨,peur
Je me sens abattu !,tristesse
Je ne supporte plus la météo …,colère
C'est très inattendu !,surprise
Cela me fait frissonner !,peur
Stupéfiant .,surprise
Stupéfiant . 😲,surprise
Je proteste contre cette nouvelle hier soir !,colère
Je traverse une période difficile !! 😢,tristesse
Quelle surprise !,surprise
Je me sens plein d'enthousiasme !!,joie
Je me sens plein d'enthousiasme !!,joie
Je me sens abattu !,tristesse
J'ai vraiment peur !,peur
C'est particulièrement inattendu .,surprise
Je suis anxieux à propos de l'entretien ce matin .,peur
Incroyable tournure pour ce message au travail …,surprise
Je me sens plein d'enthousiasme ?!,joie
Je redoute ce qui va arriver ?!,peur
Ça me rend particulièrement content … 😄,joie
Je ne m'y attendais pas ?!,surprise
C'est si inattendu !,surprise
l'entretien me peine .,tristesse
Je me sens abattu !!,tristesse
Je me sens abattu !,tristesse
"J'apprécie le cours ce matin, c'est génial .",joie
Je redoute ce qui va arriver !,peur
Je redoute ce qui va arriver !!,peur
Cela m'énerve au plus haut point ?!,colère
C'est inadmissible !,colère
Je ne suis pas rassuré … 😨,peur
Je ne suis pas rassuré ?! 😨,peur
Cela me fait frissonner !,peur
C'est vraiment inattendu …,surprise
Quelle ce message formidable !!,joie
Je me sens plein d'enthousiasme !!,joie
Stupéfiant ?! 🤯,surprise
Je suis si triste 😭,tristesse
Je proteste contre la décision ce matin !,colère
Je ne supporte plus l'entretien …,colère
C'est un jour morose !!,tristesse
Incroyable tournure pour le résultat au Sénégal ?!,surprise
le vol ASECNA me peine …,tristesse
Je suis tellement en colère 😡,colère
Je redoute ce qui va arriver ?!,peur
J'ai le cœur lourd .,tristesse
C'est tellement inattendu .,surprise
Cette le résultat m'inquiète .,peur
Ça me rend tellement content !! 😄,joie
Excellente nouvelle !! 🥳,joie
Quelle ce message formidable ?!,joie
Je ne m'y attendais pas !!,surprise
Je suis vraiment en colère 😡,colère
Excellente nouvelle … 🙂,joie
Je suis si heureux aujourd'hui,joie
Cela me fait frissonner !!,peur
Quelle surprise ?! 😮,surprise
"J'apprécie le vol ASECNA au travail, c'est génial .",joie
Excellente nouvelle …,joie
Je suis très triste 😭,tristesse
Je me sens abattu !!,tristesse
C'est particulièrement inattendu ?!,surprise
Je reste bouche bée .,surprise
Cela me fait frissonner ?!,peur
Je redoute ce qui va arriver !,peur
Je suis anxieux à propos de la météo hier soir ?!,peur
Excellente nouvelle ! 🥳,joie
Je me sens abattu !,tristesse
Je ne m'y attendais pas …,surprise
Je ne suis pas rassuré …,peur
Ça me rend si content !,joie
le système me met hors de moi ?! 😡,colère
C'est très inattendu !,surprise
C'est inadmissible !,colère
Je ne m'y attendais pas ?!,surprise
Cette la livraison m'inquiète !,peur
Cela me fait frissonner !,peur
Quelle surprise !! 🤯,surprise
J'ai le cœur lourd !!,tristesse
Je redoute ce qui va arriver !,peur
Je redoute ce qui va arriver !,peur
Je redoute ce qui va arriver ?!,peur
Je ne m'y attendais pas !!,surprise
Quelle surprise !!,surprise
Stupéfiant . 😮,surprise
Je reste bouche bée .,surprise
Cela me fait frissonner .,peur
C'est inadmissible .,colère
C'est un jour morose ?!,tristesse
Je me sens abattu !,tristesse
Cela me fait frissonner !,peur
Je redoute ce qui va arriver !!,peur
Quelle surprise … 🤯,surprise
Je proteste contre la météo la semaine prochaine !!,colère
Je traverse une période difficile !!,tristesse
Excellente nouvelle !! 🥳,joie
Quelle le projet formidable !,joie
J'ai le cœur lourd .,tristesse
C'est un jour morose ?!,tristesse
Je traverse une période difficile !! 😭,tristesse
Je me sens plein d'enthousiasme !!,joie
Je me sens plein d'enthousiasme …,joie
Je ne suis pas rassuré .,peur
cette nouvelle me met hors de moi ! 😡,colère
Quelle surprise .,surprise
Je ne supporte plus le résultat !,colère
Je reste bouche bée !,surprise
J'ai tellement peur .,peur
Je suis anxieux à propos de la météo au Sénégal !,peur
La décision me met hors de moi !,colère
Je suis ô combien heureux aujourd'hui,joie
J'ai très peur ?! 😱,peur
Je me sens plein d'enthousiasme !,joie
Je ne m'y attendais pas !,surprise
Je suis si en colère 😡,colère
Stupéfiant ! 😮,surprise
C'est inadmissible !,colère
Quelle la réunion formidable …,joie
Je ne supporte plus la météo !!,colère
Cette le match m'inquiète .,peur
C'est un jour morose !!,tristesse
Je suis très heureux aujourd'hui 🥳,joie
Cela m'énerve au plus haut point !,colère
